Impressions,Courses,Motivation_grade,Motivation_future_career,Motivation_intellectual_challenge,Motivation_code_cool_stuff,Motivation_social_interaction,Motivation_ahead_of_time,Confidence_java,Confidence_python,Confidence_nested_loops,Confidence_pseudocode,Confidence_summations,Confidence_partial_derivatives,Confidence_vector_dot_product,Confidence_linear_regression,Confidence_conditional_probability
"buzzwordy, but needed. I'm excited to learn deeper methods of data mining and machine learning. Usually when I see machine learning, I assume that people are just applying models, so I'm curious about what we'll learn.","CSC 111 Data Science and Visualization, CSC 230 Computer Science II, CSC 301 Database Systems",6,7,7,7,4,4,7,5,7,6,1,1,1,3,5
I don’t know much about them,"CSC 230 Computer Science II, CSC 301 Database Systems, CSC 335 Programming Languages, CSC 340 Mobile App Development",6,4,4,6,2,4,5,5,6,6,3,3,2,2,6
"These two concepts seem intimately intertwined. The DM part of the course seems to be centered around web crawling? And the ML part is more math based with less coding and more ""tying togetherness."" Very excited for the course.","CSC 111 Data Science and Visualization, CSC 230 Computer Science II, CSC 301 Database Systems, CSC 320 Web Development",6,7,5,6,6,6,5,7,7,7,4,6,2,7,4
"To me, data mining is being able to harvest data of interest to inform and make decisions. And machine learning is teaching machines tasks to increase efficiency and accuracy.","CSC 230 Computer Science II, CSC 242 Organization and Architecture, CSC 301 Database Systems, CSC 320 Web Development, CSC 331 Algorithm Analysis, CSC 335 Programming Languages, CSC 340 Mobile App Development",7,7,6,6,3,7,7,2,7,6,7,3,1,2,4
I believe data mining is looking through code and data to try to find answers to potential questions. Machine learning is programing a machine to be able to learn and improve on its own to become more efficient.,"CSC 230 Computer Science II, CSC 242 Organization and Architecture, CSC 301 Database Systems, CSC 320 Web Development, CSC 321 Robotics, CSC 331 Algorithm Analysis, CSC 335 Programming Languages, CSC 340 Mobile App Development",7,6,5,7,4,5,4,3,4,3,4,4,1,2,2
I have positive impressions of them,"CSC 111 Data Science and Visualization, CSC 230 Computer Science II, CSC 301 Database Systems, CSC 331 Algorithm Analysis, CSC 340 Mobile App Development",7,7,7,6,5,7,7,6,7,7,6,5,5,7,7
"Innovative, ever-evolving","CSC 111 Data Science and Visualization, CSC 230 Computer Science II, CSC 301 Database Systems",7,7,5,6,3,3,6,4,4,4,6,3,4,7,4
I find it fascinating how data mining is becoming increasingly prevalent in fields ranging from sales to financial research and how data scientist are able to some degree predict future trends in these fields. I am looking forward to learning how data mining is used by machine learning and am very excited to work on problems and get some hands on experience in this discipline of computer science.,"CSC 230 Computer Science II, CSC 301 Database Systems",7,7,7,7,7,7,5,7,6,7,5,5,3,6,5
I think its interesting,"CSC 111 Data Science and Visualization, CSC 230 Computer Science II, CSC 242 Organization and Architecture, CSC 301 Database Systems, CSC 321 Robotics",7,7,6,7,4,6,7,6,6,4,3,3,3,3,3
A little nervous but willing to put in the work and excited to learn,"CSC 230 Computer Science II, CSC 301 Database Systems",6,6,4,3,4,3,5,2,3,1,1,1,1,2,3
