ID,Textbook,Videos,Lecture,Discussion,Problems,Proactive,CodeExperience,MotivatedByFun,MotivatedByChallenge,MotivatedByGrades,MotivatedByJob,Grade
1,3,4,3,1,2,4,1,4,3,4,4,D
2,2,3,5,4,3,5,1,4,4,4,4,B
3,4,5,5,3,5,3,1,5,4,5,5,C
4,1,5,3,4,3,1,1,4,3,1,3,F
5,4,3,3,2,2,4,2,5,4,5,5,B
6,2,3,4,3,4,3,1,4,4,4,3,D
7,2,4,3,5,2,5,1,5,4,3,4,B
8,3,2,1,2,3,3,1,3,3,2,2,F
9,3,4,4,5,3,4,1,5,5,5,5,B
10,3,3,4,4,1,5,2,5,3,5,5,B
11,2,4,3,4,3,4,1,5,4,4,4,C
12,2,3,4,3,2,4,2,3,3,3,2,B
13,3,4,4,4,3,5,2,5,5,4,3,B
14,5,4,5,2,3,5,1,5,4,5,5,B
15,3,3,3,3,3,2,1,3,2,3,3,F
16,3,5,5,4,4,3,1,5,5,5,3,C
17,4,5,5,3,5,5,1,5,4,5,4,B
18,2,5,3,4,2,4,1,4,5,4,4,C
19,3,4,4,2,1,2,2,4,2,3,2,D
20,1,4,5,5,4,4,2,5,4,5,5,B
21,1,4,2,3,5,2,5,5,5,4,5,A
22,4,5,4,4,2,2,2,5,3,3,5,B
23,2,3,4,2,4,5,4,5,5,5,4,A
24,4,3,4,5,2,5,1,5,3,5,4,B
25,2,3,1,3,3,3,1,4,3,3,4,D
26,3,5,2,5,3,5,4,5,4,5,4,A
27,3,4,3,4,4,3,1,4,4,4,4,C
28,4,4,1,4,4,3,1,5,3,2,5,C
29,2,5,2,4,4,1,3,4,4,5,4,B
30,2,5,4,3,4,3,1,5,4,5,4,C
31,3,4,2,3,5,3,2,5,5,3,4,B
32,1,5,3,5,5,3,2,5,4,4,4,B
33,4,4,3,5,5,5,4,5,4,4,4,A
34,4,4,3,2,4,1,1,5,5,5,4,F
35,2,4,2,4,4,4,4,4,4,2,3,A
36,1,5,2,3,5,4,1,5,2,5,5,C
37,2,4,4,3,1,4,1,5,3,4,5,C
38,3,4,2,4,5,3,1,5,4,3,4,C
39,2,4,3,4,3,2,2,4,3,3,4,C
40,4,4,5,3,1,4,1,5,3,3,4,C
41,2,2,3,4,4,3,2,5,4,5,5,B
42,2,5,5,4,1,5,1,4,4,5,4,B
43,2,5,2,3,3,3,1,5,4,5,4,D
44,4,5,4,2,1,3,1,5,4,5,4,D
45,3,3,4,4,3,3,1,5,4,5,4,C
46,1,4,4,1,1,4,1,5,3,4,4,D
47,1,5,3,1,1,4,1,5,5,5,5,C
48,3,5,3,2,4,4,3,4,4,3,4,A
49,4,4,1,2,3,2,1,4,3,3,4,D
50,3,4,4,4,2,3,3,4,4,4,4,B
51,3,4,4,5,5,4,5,5,4,5,5,A
52,1,5,4,4,5,3,5,5,4,4,5,A
53,3,4,4,3,2,4,1,4,4,5,5,C
54,2,3,4,3,4,2,1,4,4,3,3,D
55,2,5,4,2,2,4,1,5,3,5,5,C
